"","X","title","main_speaker","new_views","published_date","description","speaker_occupation","num_speaker","duration","comments","tags","languages","url","funny","courageous","confusing","beautiful","unconvincing","longwinded","informative","inspiring","fascinating","ingenious","persuasive","jawdrop","obnoxious","OK","top_rating","bottom_rating"
"1",1,"Your body language may shape who you are","Amy Cuddy",38661501.31,"02-10-2012","Body language affects how others see us, but it may also change how we see ourselves. Social psychologist Amy Cuddy argues that ""power posing"" ? standing in a posture of confidence, even when we don't feel confident ? can boost feelings of confidence, and might have an impact on our chances for success. NOTE: Some of the findings presented in this talk have been referenced in an ongoing debate among social scientists about robustness and reproducibility. Read ""Criticisms & updates"" below for more details as well as Amy Cuddy's response.","Social psychologist",1,1262,2290,"['body language', 'brain', 'business', 'psychology', 'self', 'success']",51,"https://www.ted.com/talks/amy_cuddy_your_body_language_shapes_who_you_are
",3586,9787,11111,6217,6305,1428,21210,1129,3232,155,338,335,938,197,"informative","ingenious"
"2",2,"Do schools kill creativity?","Ken Robinson",36107995.93,"27-06-2006","Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.","Author/educator",1,1164,4553,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",60,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924,"OK","obnoxious"
"3",3,"How great leaders inspire action","Simon Sinek",29002027.66,"04-05-2010","Simon Sinek has a simple but powerful model for inspirational leadership -- starting with a golden circle and the question ""Why?""  His examples include Apple, Martin Luther King, and the Wright brothers ...","Leadership expert",1,1084,1930,"['TEDx', 'business', 'entrepreneur', 'leadership', 'success']",45,"https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action
",930,1341,390,8845,21564,6600,3413,7440,2659,294,1640,1161,112,390,"unconvincing","obnoxious"
"4",4,"The power of vulnerability","Bren? Brown",26763724.88,"23-12-2010","Bren? Brown studies human connection -- our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.","Vulnerability researcher",1,1219,1927,"['TEDx', 'communication', 'culture', 'depression', 'fear', 'mental health', 'psychology', 'self', 'social change']",52,"https://www.ted.com/talks/brene_brown_on_vulnerability
",21444,2100,7942,4638,8280,4561,5225,3510,1094,500,233,155,113,283,"funny","obnoxious"
"5",5,"How to speak so that people want to listen","Julian Treasure",20131399.94,"27-06-2014","Have you ever felt like you're talking, but nobody is listening? Here's Julian Treasure to help. In this useful talk, the sound expert demonstrates the how-to's of powerful speaking ? from some handy vocal exercises to tips on how to speak with empathy. A talk that might help the world sound more beautiful.","Sound consultant",1,598,297,"['culture', 'sound', 'speech']",45,"https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen
",2678,4133,5167,1801,697,735,650,810,270,48,152,153,43,49,"confusing","obnoxious"
"6",6,"This is what happens when you reply to spam email","James Veitch",19746485.66,"09-01-2016","Suspicious emails: unclaimed insurance bonds, diamond-encrusted safe deposit boxes, close friends marooned in a foreign country. They pop up in our inboxes, and standard procedure is to delete on sight. But what happens when you reply? Follow along as writer and comedian James Veitch narrates a hilarious, weeks-long exchange with a spammer who offered to cut him in on a hot deal.","Comedian and writer",1,588,150,"['comedy', 'communication', 'curiosity', 'humor', 'technology']",43,"https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email
",7731,1766,939,401,221,240,143,229,45,63,60,417,91,20,"funny","OK"
"7",7,"10 things you didn't know about orgasm","Mary Roach",18379357.5,"20-05-2009","""Bonk"" author Mary Roach delves into obscure scientific research, some of it centuries old, to make 10 surprising claims about sexual climax, ranging from the bizarre to the hilarious. (This talk is aimed at adults. Viewer discretion advised.)","Writer",1,1003,354,"['books', 'culture', 'history', 'humor', 'science', 'sex', 'writing']",37,"https://www.ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm
",363,4166,519,1752,2231,100,345,715,184,212,154,209,213,110,"courageous","longwinded"
"8",8,"Looks aren't everything. Believe me, I'm a model.","Cameron Russell",17848462.6,"17-01-2013","Cameron Russell admits she won ¡°a genetic lottery¡±: she's tall, pretty and an underwear model. But don't judge her by her looks. In this fearless talk, she takes a wry look at the industry that had her looking highly seductive at barely 16 years old.","Model",1,577,846,"['TEDx', 'beauty', 'culture', 'fashion', 'photography']",43,"https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
",92,124,612,986,2306,1617,497,924,632,119,302,77,231,101,"unconvincing","jawdrop"
"9",9,"My stroke of insight","Jill Bolte Taylor",16960425.02,"12-03-2008","Jill Bolte Taylor got a research opportunity few brain scientists would wish for: She had a massive stroke, and watched as her brain functions -- motion, speech, self-awareness -- shut down one by one. An astonishing story.","Neuroanatomist",1,1099,2877,"['biology', 'brain', 'consciousness', 'global issues', 'illness', 'science']",49,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
",14447,16918,10464,9437,7842,966,5430,356,289,1704,1228,550,636,398,"courageous","fascinating"
"10",10,"What makes a good life? Lessons from the longest study on happiness","Robert Waldinger",15995254.48,"24-12-2015","What keeps us happy and healthy as we go through life? If you think it's fame and money, you're not alone ? but, according to psychiatrist Robert Waldinger, you're mistaken. As the director of a 75-year-old study on adult development, Waldinger has unprecedented access to data on true happiness and satisfaction. In this talk, he shares three important lessons learned from the study as well as some practical, old-as-the-hills wisdom on how to build a fulfilling, long life.","Psychiatrist, psychoanalyst and Zen priest",1,766,527,"['TEDx', 'aging', 'data', 'friendship', 'happiness', 'health', 'humanity', 'life', 'relationships', 'society', 'time', 'work-life balance']",43,"https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness
",8590,1661,3825,2868,2564,217,368,251,259,130,31,25,140,119,"funny","jawdrop"
